"title","price","imgUrl"
"A Light in the Attic","£51.77","http://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg"
"Tipping the Velvet","£53.74","http://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg"
"Soumission","£50.10","http://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg"
"Sharp Objects","£47.82","http://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg"
"Sapiens: A Brief History of Humankind","£54.23","http://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg"
"The Requiem Red","£22.65","http://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg"
"The Dirty Little Secrets of Getting Your Dream Job","£33.34","http://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg"
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","£17.93","http://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg"
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","£22.60","http://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg"
"The Black Maria","£52.15","http://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg"
"Starving Hearts (Triangular Trade Trilogy, #1)","£13.99","http://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg"
"Shakespeare's Sonnets","£20.66","http://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg"
"Set Me Free","£17.46","http://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg"
"Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)","£52.29","http://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg"
"Rip it Up and Start Again","£35.02","http://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg"
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","£57.25","http://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg"
"Olio","£23.88","http://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg"
"Mesaerion: The Best Science Fiction Stories 1800-1849","£37.59","http://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg"
"Libertarianism for Beginners","£51.33","http://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg"
"It's Only the Himalayas","£45.17","http://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg"
"In Her Wake","£12.84","http://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg"
"How Music Works","£37.32","http://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg"
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","£30.52","http://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg"
"Chase Me (Paris Nights #2)","£25.27","http://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg"
"Black Dust","£34.53","http://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg"
"Birdsong: A Story in Pictures","£54.64","http://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg"
"America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana","£22.50","http://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg"
"Aladdin and His Wonderful Lamp","£53.13","http://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg"
"Worlds Elsewhere: Journeys Around Shakespeare’s Globe","£40.30","http://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg"
"Wall and Piece","£44.18","http://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg"
"The Four Agreements: A Practical Guide to Personal Freedom","£17.66","http://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg"
"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate","£31.05","http://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg"
"The Elephant Tree","£23.82","http://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg"
"The Bear and the Piano","£36.89","http://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg"
"Sophie's World","£15.94","http://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg"
"Penny Maybe","£33.29","http://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg"
"Maude (1883-1993):She Grew Up with the country","£18.02","http://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg"
"In a Dark, Dark Wood","£19.63","http://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg"
"Behind Closed Doors","£52.22","http://books.toscrape.com/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg"
"You can't bury them all: Poems","£33.63","http://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg"
"Slow States of Collapse: Poems","£57.31","http://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg"
"Reasons to Stay Alive","£26.41","http://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg"
"Private Paris (Private #10)","£47.61","http://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg"
"#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.","£23.11","http://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg"
"Without Borders (Wanderlove #1)","£45.07","http://books.toscrape.com/media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg"
"When We Collided","£31.77","http://books.toscrape.com/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg"
"We Love You, Charlie Freeman","£50.27","http://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg"
"Untitled Collection: Sabbath Poems 2014","£14.27","http://books.toscrape.com/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg"
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness","£44.18","http://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg"
